Museum Name,Museum Type,City,State,Income,Revenue,Museum Name2,Rating,Review Count
NEVADA STATE RAILROAD MUSEUM,GENERAL MUSEUM,BOULDER CITY,NV,0,0,NEVADA STATE RAILROAD MUSEUM,4.5,186
TERRY LEE WELLS NEVADA DISCOVERY MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,RENO,NV,0,0,TERRY LEE WELLS NEVADA DISCOVERY MUSEUM,4.5,154
ADIRONDACK MUSEUM,HISTORIC PRESERVATION,BLUE MOUNTAIN LAKE,NY,"$15,419,688.00 ","$7,109,668.00 ",ADIRONDACK MUSEUM,5,284
AMERICAN AIRPOWER MUSEUM,GENERAL MUSEUM,FARMINGDALE,NY,0,0,AMERICAN AIRPOWER MUSEUM,4.5,79
AMERICAN MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,NEW YORK,NY,"$495,496,805.00 ","$197,273,112.00 ",AMERICAN MUSEUM OF NATURAL HISTORY,4.5,"13,992"
BUFFALO MUSEUM OF SCIENCE,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,BUFFALO,NY,"$11,707,255.00 ","$6,190,441.00 ",BUFFALO MUSEUM OF SCIENCE,4,159
CHILDREN'S MUSEUM OF MANHATTAN,CHILDREN'S MUSEUM,NEW YORK,NY,0,0,CHILDREN'S MUSEUM OF MANHATTAN,4,171
CORNING MUSEUM OF GLASS,GENERAL MUSEUM,CORNING,NY,"$50,577,186.00 ",0,CORNING MUSEUM OF GLASS,4.5,"2,295"
ERIE CANAL MUSEUM,GENERAL MUSEUM,SYRACUSE,NY,"$613,731.00 ","$561,005.00 ",ERIE CANAL MUSEUM,4.5,232
FENIMORE ART MUSEUM,ART MUSEUM,COOPERSTOWN,NY,0,0,FENIMORE ART MUSEUM,4.5,438
FRANKLIN D. ROOSEVELT PRESIDENTIAL LIBRARY AND MUSEUM,GENERAL MUSEUM,HYDE PARK,NY,0,0,FRANKLIN D. ROOSEVELT PRESIDENTIAL LIBRARY AND MUSEUM,5,905
FRICK COLLECTION,ART MUSEUM,NEW YORK,NY,"$80,573,743.00 ","$29,520,866.00 ",FRICK COLLECTION,4.5,"6,746"
GLENN H. CURTISS MUSEUM,GENERAL MUSEUM,HAMMONDSPORT,NY,0,0,GLENN H. CURTISS MUSEUM,5,353
HUDSON RIVER MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,YONKERS,NY,"$4,525,099.00 ","$3,048,411.00 ",HUDSON RIVER MUSEUM,4,77
JOHNSON MUSEUM OF ART,ART MUSEUM,ITHACA,NY,0,0,JOHNSON MUSEUM OF ART,4.5,131
MID-HUDSON CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,POUGHKEEPSIE,NY,"$629,521.00 ","$619,217.00 ",MID-HUDSON CHILDREN'S MUSEUM,4,99
MUSEUM OF ARTS AND DESIGN,ART MUSEUM,NEW YORK,NY,"$27,904,762.00 ","$17,592,045.00 ",MUSEUM OF ARTS AND DESIGN,4.5,288
MUSEUM OF BIBLICAL ART,GENERAL MUSEUM,NEW YORK,NY,"$1,937,211.00 ","$1,936,972.00 ",MUSEUM OF BIBLICAL ART,4.5,123
MUSEUM OF SEX,GENERAL MUSEUM,NEW YORK,NY,0,0,MUSEUM OF SEX,2.5,687
MUSEUM OF THE CITY OF NEW YORK,HISTORY MUSEUM,NEW YORK,NY,"$14,146,980.00 ","$11,999,290.00 ",MUSEUM OF THE CITY OF NEW YORK,4,579
NASSAU COUNTY MUSEUM OF ART,ART MUSEUM,ROSLYN HARBOR,NY,"$4,269,633.00 ","$3,756,890.00 ",NASSAU COUNTY MUSEUM OF ART,4.5,84
NATIONAL BASEBALL HALL OF FAME AND MUSEUM,HISTORY MUSEUM,COOPERSTOWN,NY,"$12,930,996.00 ","$10,057,603.00 ",NATIONAL BASEBALL HALL OF FAME AND MUSEUM,4.5,"2,338"
NEW YORK CITY FIRE MUSEUM,GENERAL MUSEUM,NEW YORK,NY,"$493,409.00 ","$412,649.00 ",NEW YORK CITY FIRE MUSEUM,4.5,153
NEW YORK STATE MUSEUM,GENERAL MUSEUM,ALBANY,NY,0,0,NEW YORK STATE MUSEUM,4.5,685
NEW YORK TRANSIT MUSEUM,GENERAL MUSEUM,BROOKLYN,NY,"$5,421,665.00 ","$2,156,641.00 ",NEW YORK TRANSIT MUSEUM,4.5,627
RUBIN MUSEUM OF ART,ART MUSEUM,NEW YORK,NY,"$16,495,047.00 ","$6,155,768.00 ",RUBIN MUSEUM OF ART,4.5,232
TENEMENT MUSEUM,HISTORY MUSEUM,NEW YORK,NY,"$8,471,672.00 ","$8,263,044.00 ",TENEMENT MUSEUM,4.5,"4,446"
WEST POINT MUSEUM,GENERAL MUSEUM,WEST POINT,NY,0,0,WEST POINT MUSEUM,4.5,278
WHITNEY MUSEUM OF AMERICAN ART,ART MUSEUM,NEW YORK,NY,"$202,723,000.00 ","$91,271,000.00 ",WHITNEY MUSEUM OF AMERICAN ART,4.5,"1,950"
AMERICAN SIGN MUSEUM,HISTORY MUSEUM,BLUE ASH,OH,"$701,260.00 ","$477,914.00 ",AMERICAN SIGN MUSEUM,4.5,389
ARMSTRONG AIR & SPACE MUSEUM,GENERAL MUSEUM,WAPAKONETA,OH,"$421,532.00 ","$318,052.00 ",ARMSTRONG AIR & SPACE MUSEUM,4.5,177
CAMPUS MARTIUS MUSEUM,GENERAL MUSEUM,MARIETTA,OH,0,0,CAMPUS MARTIUS MUSEUM,4.5,73
CLEVELAND MUSEUM OF ART,ART MUSEUM,BROOKLYN,OH,"$305,612.00 ","$232,679.00 ",CLEVELAND MUSEUM OF ART,5,"2,076"
CLEVELAND MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,CLEVELAND,OH,"$23,816,364.00 ","$13,829,109.00 ",CLEVELAND MUSEUM OF NATURAL HISTORY,4.5,388
COLUMBUS MUSEUM OF ART,ART MUSEUM,COLUMBUS,OH,"$5,075,805.00 ","$4,070,210.00 ",COLUMBUS MUSEUM OF ART,4,299
DAYTON ART INSTITUTE,ART MUSEUM,DAYTON,OH,"$13,138,606.00 ","$6,201,966.00 ",DAYTON ART INSTITUTE,4.5,266
FRANKLIN MUSEUM,GENERAL MUSEUM,NEW ATHENS,OH,0,0,FRANKLIN MUSEUM,5,75
LIBERTY AVIATION MUSEUM,GENERAL MUSEUM,PORT CLINTON,OH,"$16,356,534.00 ",0,LIBERTY AVIATION MUSEUM,4.5,137
MERRY-GO-ROUND MUSEUM,GENERAL MUSEUM,SANDUSKY,OH,"$239,130.00 ","$222,263.00 ",MERRY-GO-ROUND MUSEUM,4.5,167
NATIONAL MUSEUM OF THE GREAT LAKES,GENERAL MUSEUM,TOLEDO,OH,0,0,NATIONAL MUSEUM OF THE GREAT LAKES,5,150
NATIONAL MUSEUM OF THE U.S. AIR FORCE,GENERAL MUSEUM,DAYTON,OH,0,0,NATIONAL MUSEUM OF THE U.S. AIR FORCE,5,"2,905"
NATIONAL UNDERGROUND RAILROAD FREEDOM CENTER,HISTORY MUSEUM,CINCINNATI,OH,"$8,128,396.00 ","$7,791,905.00 ",NATIONAL UNDERGROUND RAILROAD FREEDOM CENTER,4.5,620
ROCK AND ROLL HALL OF FAME AND MUSEUM,GENERAL MUSEUM,CLEVELAND,OH,"$29,537,458.00 ","$17,717,442.00 ",ROCK AND ROLL HALL OF FAME AND MUSEUM,4.5,"5,637"
TAFT MUSEUM OF ART,ART MUSEUM,CINCINNATI,OH,"$10,716,267.00 ","$8,331,620.00 ",TAFT MUSEUM OF ART,4.5,248
TOLEDO MUSEUM OF ART,ART MUSEUM,TOLEDO,OH,"$166,674,719.00 ","$34,621,886.00 ",TOLEDO MUSEUM OF ART,5,744
WARTHER MUSEUM,GENERAL MUSEUM,DOVER,OH,0,0,WARTHER MUSEUM,5,266
45TH INFANTRY DIVISION MUSEUM,GENERAL MUSEUM,OKLAHOMA CITY,OK,0,0,45TH INFANTRY DIVISION MUSEUM,4.5,210
FRED JONES JR. MUSEUM OF ART,ART MUSEUM,NORMAN,OK,0,0,FRED JONES JR. MUSEUM OF ART,4.5,103
GILCREASE MUSEUM,GENERAL MUSEUM,TULSA,OK,"$312,289,407.00 ","$307,186,472.00 ",GILCREASE MUSEUM,4.5,566
MUSEUM OF OSTEOLOGY,GENERAL MUSEUM,OKLAHOMA CITY,OK,0,0,MUSEUM OF OSTEOLOGY,5,880
MUSEUM OF THE GREAT PLAINS,GENERAL MUSEUM,LAWTON,OK,0,0,MUSEUM OF THE GREAT PLAINS,4.5,149
OKLAHOMA CITY MUSEUM OF ART,ART MUSEUM,OKLAHOMA CITY,OK,"$9,332,682.00 ","$5,491,719.00 ",OKLAHOMA CITY MUSEUM OF ART,4.5,488
OKLAHOMA ROUTE 66 MUSEUM,GENERAL MUSEUM,CLINTON,OK,"$393,383.00 ","$219,371.00 ",OKLAHOMA ROUTE 66 MUSEUM,4.5,236
PHILBROOK MUSEUM OF ART,ART MUSEUM,TULSA,OK,0,0,PHILBROOK MUSEUM OF ART,5,801
SAM NOBLE OKLAHOMA MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,NORMAN,OK,0,0,SAM NOBLE OKLAHOMA MUSEUM OF NATURAL HISTORY,4.5,305
SCIENCE MUSEUM OKLAHOMA,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,OKLAHOMA CITY,OK,$0.00 ,$0.00 ,SCIENCE MUSEUM OKLAHOMA,4.5,573
STAFFORD AIR & SPACE MUSEUM,GENERAL MUSEUM,WEATHERFORD,OK,"$534,513.00 ","$228,325.00 ",STAFFORD AIR & SPACE MUSEUM,5,98
TULSA AIR AND SPACE MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,TULSA,OK,"$1,987,483.00 ","$1,839,251.00 ",TULSA AIR AND SPACE MUSEUM,4,203
WOOLAROC MUSEUM & WILDLIFE PRESERVE,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",BARTLESVILLE,OK,0,0,WOOLAROC MUSEUM & WILDLIFE PRESERVE,5,334
EVERGREEN AVIATION & SPACE MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,MCMINNVILLE,OR,"$7,669,878.00 ","$7,570,314.00 ",EVERGREEN AVIATION & SPACE MUSEUM,4.5,"1,037"
HIGH DESERT MUSEUM,GENERAL MUSEUM,BEND,OR,"$3,896,463.00 ","$3,775,791.00 ",HIGH DESERT MUSEUM,4.5,"1,230"
MUSEUM OF NATURAL AND CULTURAL HISTORY,GENERAL MUSEUM,EUGENE,OR,0,0,MUSEUM OF NATURAL AND CULTURAL HISTORY,4.5,56
OREGON MUSEUM OF SCIENCE AND INDUSTRY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,PORTLAND,OR,"$21,096,070.00 ","$20,675,233.00 ",OREGON MUSEUM OF SCIENCE AND INDUSTRY,4.5,"1,162"
PORTLAND ART MUSEUM,ART MUSEUM,PORTLAND,OR,"$17,745,292.00 ","$16,026,230.00 ",PORTLAND ART MUSEUM,4.5,731
PORTLAND CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,PORTLAND,OR,"$3,877,343.00 ","$3,762,766.00 ",PORTLAND CHILDREN'S MUSEUM,4.5,266
TILLAMOOK AIR MUSEUM,GENERAL MUSEUM,TILLAMOOK,OR,0,0,TILLAMOOK AIR MUSEUM,4,429
ALLENTOWN ART MUSEUM,ART MUSEUM,ALLENTOWN,PA,"$3,449,244.00 ","$2,451,284.00 ",ALLENTOWN ART MUSEUM,4.5,97
ANDY WARHOL MUSEUM,GENERAL MUSEUM,PITTSBURGH,PA,0,0,ANDY WARHOL MUSEUM,4,771
ANTIQUE AUTOMOBILE CLUB OF AMERICA MUSEUM,GENERAL MUSEUM,HERSHEY,PA,"$2,183,909.00 ","$1,588,775.00 ",ANTIQUE AUTOMOBILE CLUB OF AMERICA MUSEUM,4.5,514
BENJAMIN FRANKLIN MUSEUM,GENERAL MUSEUM,PHILADELPHIA,PA,0,0,BENJAMIN FRANKLIN MUSEUM,4.5,283
CARNEGIE MUSEUM OF ART,ART MUSEUM,PITTSBURGH,PA,"$213,186.00 ","$213,186.00 ",CARNEGIE MUSEUM OF ART,4.5,361
CHILDREN'S MUSEUM OF PITTSBURGH,CHILDREN'S MUSEUM,PITTSBURGH,PA,"$7,632,241.00 ","$6,025,425.00 ",CHILDREN'S MUSEUM OF PITTSBURGH,4.5,414
FORT PITT MUSEUM,HISTORY MUSEUM,PITTSBURGH,PA,$0.00 ,$0.00 ,FORT PITT MUSEUM,4,131
GETTYSBURG MUSEUM OF HISTORY,HISTORY MUSEUM,GETTYSBURG,PA,"$19,002,172.00 ","$15,984,694.00 ",GETTYSBURG MUSEUM OF HISTORY,5,"1,147"
INDEPENDENCE SEAPORT MUSEUM,GENERAL MUSEUM,PHILADELPHIA,PA,"$4,795,407.00 ","$2,518,072.00 ",INDEPENDENCE SEAPORT MUSEUM,4.5,179
MUTTER MUSEUM,GENERAL MUSEUM,PHILADELPHIA,PA,0,0,MUTTER MUSEUM,4,"1,126"
NATIONAL CIVIL WAR MUSEUM,HISTORY MUSEUM,HARRISBURG,PA,"$1,201,158.00 ","$1,139,487.00 ",NATIONAL CIVIL WAR MUSEUM,4.5,669
NATIONAL LIBERTY MUSEUM,GENERAL MUSEUM,PHILADELPHIA,PA,"$6,576,740.00 ","$4,358,546.00 ",NATIONAL LIBERTY MUSEUM,4.5,92
NATIONAL MUSEUM OF AMERICAN JEWISH HISTORY,GENERAL MUSEUM,PHILADELPHIA,PA,"$6,502,700.00 ","$5,387,716.00 ",NATIONAL MUSEUM OF AMERICAN JEWISH HISTORY,4.5,777
NORTH MUSEUM OF NATURE AND SCIENCE,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,LANCASTER,PA,0,0,NORTH MUSEUM OF NATURE AND SCIENCE,4,58
PHILADELPHIA MUSEUM OF ART,ART MUSEUM,PHILADELPHIA,PA,"$148,647,035.00 ","$82,564,750.00 ",PHILADELPHIA MUSEUM OF ART,4.5,"4,713"
PLEASE TOUCH MUSEUM,CHILDREN'S MUSEUM,PHILADELPHIA,PA,"$21,807,887.00 ","$9,514,220.00 ",PLEASE TOUCH MUSEUM,4.5,"1,021"
RAILROAD MUSEUM OF PENNSYLVANIA,HISTORY MUSEUM,RONKS,PA,"$938,035.00 ","$646,738.00 ",RAILROAD MUSEUM OF PENNSYLVANIA,4.5,667
RODIN MUSEUM,GENERAL MUSEUM,PHILADELPHIA,PA,0,0,RODIN MUSEUM,4.5,925
SENATOR JOHN HEINZ HISTORY CENTER,HISTORIC PRESERVATION,PITTSBURGH,PA,"$40,128,895.00 ","$14,363,112.00 ",SENATOR JOHN HEINZ HISTORY CENTER,4.5,827
STATE MUSEUM OF PENNSYLVANIA,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,HARRISBURG,PA,0,0,STATE MUSEUM OF PENNSYLVANIA,4.5,167
CULINARY ARTS MUSEUM,GENERAL MUSEUM,PROVIDENCE,RI,0,0,CULINARY ARTS MUSEUM,4.5,90
CHARLESTON MUSEUM,HISTORY MUSEUM,CHARLESTON,SC,"$2,811,394.00 ","$2,152,551.00 ",CHARLESTON MUSEUM,4.5,559
COASTAL DISCOVERY MUSEUM,GENERAL MUSEUM,HILTON HEAD ISLAND,SC,"$1,595,430.00 ","$1,240,741.00 ",COASTAL DISCOVERY MUSEUM,4.5,718
FORT SUMTER NATIONAL MONUMENT,HISTORIC PRESERVATION,SULLIVANS ISLAND,SC,0,0,FORT SUMTER NATIONAL MONUMENT,4.5,"2,387"
GREENVILLE COUNTY MUSEUM OF ART,ART MUSEUM,GREENVILLE,SC,"$26,705.00 ","$26,705.00 ",GREENVILLE COUNTY MUSEUM OF ART,4,139
OLD SLAVE MART MUSEUM,ART MUSEUM,CHARLESTON,SC,0,0,OLD SLAVE MART MUSEUM,4,716
SOUTH CAROLINA STATE MUSEUM,GENERAL MUSEUM,COLUMBIA,SC,0,0,SOUTH CAROLINA STATE MUSEUM,4.5,421
UPCOUNTRY HISTORY MUSEUM,HISTORY MUSEUM,GREENVILLE,SC,"$369,775,695.00 ","$207,569,514.00 ",UPCOUNTRY HISTORY MUSEUM,4.5,92
ADAMS MUSEUM,HISTORY MUSEUM,DEADWOOD,SD,"$250,000.00 ","$250,000.00 ",ADAMS MUSEUM,4.5,394
AKTA LAKOTA MUSEUM,GENERAL MUSEUM,CHAMBERLAIN,SD,0,0,AKTA LAKOTA MUSEUM,5,147
SOUTH DAKOTA AIR AND SPACE MUSEUM,GENERAL MUSEUM,ELLSWORTH AFB,SD,0,0,SOUTH DAKOTA AIR AND SPACE MUSEUM,4.5,527
AMERICAN MUSEUM OF SCIENCE & ENERGY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,OAK RIDGE,TN,0,0,AMERICAN MUSEUM OF SCIENCE & ENERGY,4.5,295
BUFORD PUSSER HOME AND MUSEUM,GENERAL MUSEUM,ADAMSVILLE,TN,0,0,BUFORD PUSSER HOME AND MUSEUM,4.5,56
CHILDREN'S MUSEUM OF MEMPHIS,CHILDREN'S MUSEUM,MEMPHIS,TN,"$3,072,596.00 ","$2,886,445.00 ",CHILDREN'S MUSEUM OF MEMPHIS,4.5,182
CREATIVE DISCOVERY MUSEUM,CHILDREN'S MUSEUM,CHATTANOOGA,TN,"$3,946,537.00 ","$3,100,010.00 ",CREATIVE DISCOVERY MUSEUM,4.5,686
DISCOVERY PARK OF AMERICA,GENERAL MUSEUM,UNION CITY,TN,"$2,130,436.00 ","$2,092,168.00 ",DISCOVERY PARK OF AMERICA,5,262
HOLLYWOOD STAR CARS MUSEUM,GENERAL MUSEUM,GATLINBURG,TN,0,0,HOLLYWOOD STAR CARS MUSEUM,4,893
KNOXVILLE MUSEUM OF ART,ART MUSEUM,KNOXVILLE,TN,"$7,192,899.00 ","$6,902,750.00 ",KNOXVILLE MUSEUM OF ART,4,198
LANE MOTOR MUSEUM,GENERAL MUSEUM,NASHVILLE,TN,"$1,625,296.00 ",0,LANE MOTOR MUSEUM,4.5,555
MCCLUNG MUSEUM OF NATURAL HISTORY AND CULTURE,NATURAL HISTORY MUSEUM,KNOXVILLE,TN,0,0,MCCLUNG MUSEUM OF NATURAL HISTORY AND CULTURE,4.5,115
MUSICIANS HALL OF FAME AND MUSEUM,GENERAL MUSEUM,NASHVILLE,TN,0,0,MUSICIANS HALL OF FAME AND MUSEUM,4.5,279
SALT AND PEPPER SHAKER MUSEUM,GENERAL MUSEUM,GATLINBURG,TN,"$68,392.00 ","$68,392.00 ",SALT AND PEPPER SHAKER MUSEUM,4.5,314
TENNESSEE STATE MUSEUM,GENERAL MUSEUM,NASHVILLE,TN,"$717,333.00 ","$603,729.00 ",TENNESSEE STATE MUSEUM,4.5,538
1940 AIR TERMINAL MUSEUM,GENERAL MUSEUM,HOUSTON,TX,0,0,1940 AIR TERMINAL MUSEUM,4.5,105
BULLOCK TEXAS STATE HISTORY MUSEUM,HISTORY MUSEUM,AUSTIN,TX,0,0,BULLOCK TEXAS STATE HISTORY MUSEUM,4.5,"1,730"
CHILDREN'S MUSEUM OF HOUSTON,CHILDREN'S MUSEUM,HOUSTON,TX,"$36,775,342.00 ","$12,252,570.00 ",CHILDREN'S MUSEUM OF HOUSTON,4.5,"1,165"
DALLAS HOLOCAUST MUSEUM,HISTORY MUSEUM,DALLAS,TX,"$3,221,150.00 ","$2,915,310.00 ",DALLAS HOLOCAUST MUSEUM,4.5,298
DALLAS MUSEUM OF ART,ART MUSEUM,DALLAS,TX,"$53,752,912.00 ","$30,647,159.00 ",DALLAS MUSEUM OF ART,4.5,"1,315"
EAST TEXAS OIL MUSEUM,GENERAL MUSEUM,KILGORE,TX,0,0,EAST TEXAS OIL MUSEUM,4.5,137
EL PASO MUSEUM OF ART,HISTORIC PRESERVATION,EL PASO,TX,"$456,495.00 ","$456,495.00 ",EL PASO MUSEUM OF ART,4.5,136
FORT BLISS AND OLD IRONSIDES MUSEUMS,HISTORIC PRESERVATION,FORT BLISS,TX,$0.00 ,$0.00 ,FORT BLISS AND OLD IRONSIDES MUSEUMS,4.5,101
FORT WORTH MUSEUM OF SCIENCE & HISTORY,CHILDREN'S MUSEUM,FORT WORTH,TX,0,0,FORT WORTH MUSEUM OF SCIENCE & HISTORY,4,340
FRONTIERS OF FLIGHT MUSEUM,HISTORY MUSEUM,DALLAS,TX,"$1,907,168.00 ","$1,224,133.00 ",FRONTIERS OF FLIGHT MUSEUM,4.5,241
GEORGE BUSH PRESIDENTIAL LIBRARY AND MUSEUM,GENERAL MUSEUM,COLLEGE STATION,TX,0,0,GEORGE BUSH PRESIDENTIAL LIBRARY AND MUSEUM,4.5,667
INSTITUTE OF TEXAN CULTURES,GENERAL MUSEUM,SAN ANTONIO,TX,0,0,INSTITUTE OF TEXAN CULTURES,4.5,302
MAYBORN MUSEUM COMPLEX,GENERAL MUSEUM,WACO,TX,"$867,057,457.00 ","$840,046,127.00 ",MAYBORN MUSEUM COMPLEX,4.5,203
MCKENNA CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,NEW BRAUNFELS,TX,0,0,MCKENNA CHILDREN'S MUSEUM,4.5,127
MCNAY ART MUSEUM,ART MUSEUM,SAN ANTONIO,TX,"$58,195,853.00 ","$13,518,035.00 ",MCNAY ART MUSEUM,4.5,614
MEADOWS MUSEUM,GENERAL MUSEUM,DALLAS,TX,0,0,MEADOWS MUSEUM,4.5,117
MUSEUM OF THE BIG BEND,GENERAL MUSEUM,ALPINE,TX,0,0,MUSEUM OF THE BIG BEND,4.5,221
NASHER SCULPTURE CENTER,ART MUSEUM,DALLAS,TX,"$10,655,602.00 ","$10,297,175.00 ",NASHER SCULPTURE CENTER,4.5,666
NATIONAL COWGIRL MUSEUM AND HALL OF FAME,GENERAL MUSEUM,FORT WORTH,TX,"$5,649,697.00 ","$3,354,190.00 ",NATIONAL COWGIRL MUSEUM AND HALL OF FAME,4.5,152
NATIONAL MUSEUM OF FUNERAL HISTORY,GENERAL MUSEUM,HOUSTON,TX,"$1,178,694.00 ","$868,005.00 ",NATIONAL MUSEUM OF FUNERAL HISTORY,4.5,323
NATIONAL MUSEUM OF THE PACIFIC WAR,GENERAL MUSEUM,FREDERICKSBURG,TX,0,0,NATIONAL MUSEUM OF THE PACIFIC WAR,5,"1,826"
PANHANDLE-PLAINS HISTORICAL MUSEUM,HISTORIC PRESERVATION,CANYON,TX,"$2,763,576.00 ","$2,636,779.00 ",PANHANDLE-PLAINS HISTORICAL MUSEUM,5,324
PEROT MUSEUM OF NATURE AND SCIENCE,NATURAL HISTORY MUSEUM,DALLAS,TX,"$31,274,480.00 ","$25,980,534.00 ",PEROT MUSEUM OF NATURE AND SCIENCE,4.5,"2,242"
SAN ANTONIO MUSEUM OF ART,ART MUSEUM,SAN ANTONIO,TX,"$35,751,923.00 ","$12,568,994.00 ",SAN ANTONIO MUSEUM OF ART,4.5,557
SILENT WINGS MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,LUBBOCK,TX,0,0,SILENT WINGS MUSEUM,5,136
TEXAS CIVIL WAR MUSEUM,GENERAL MUSEUM,WHT SETTLEMT,TX,"$376,934.00 ",0,TEXAS CIVIL WAR MUSEUM,4.5,227
TEXAS MARITIME MUSEUM,HISTORY MUSEUM,ROCKPORT,TX,"$463,255.00 ","$343,012.00 ",TEXAS MARITIME MUSEUM,4.5,125
TEXAS MILITARY FORCES MUSEUM,GENERAL MUSEUM,WIMBERLEY,TX,$0.00 ,$0.00 ,TEXAS MILITARY FORCES MUSEUM,4.5,129
TEXAS PRISON MUSEUM,GENERAL MUSEUM,HUNTSVILLE,TX,"$432,100.00 ","$312,043.00 ",TEXAS PRISON MUSEUM,4.5,150
TEXAS RANGER HALL OF FAME AND MUSEUM,GENERAL MUSEUM,WACO,TX,0,0,TEXAS RANGER HALL OF FAME AND MUSEUM,4.5,464
THINKERY,CHILDREN'S MUSEUM,AUSTIN,TX,0,0,THINKERY,4.5,244
WITTE MUSEUM,GENERAL MUSEUM,SAN ANTONIO,TX,"$20,214,005.00 ","$18,052,115.00 ",WITTE MUSEUM,4,283
HILL AEROSPACE MUSEUM,GENERAL MUSEUM,HILL AFB,UT,"$2,398,299.00 ","$2,392,580.00 ",HILL AEROSPACE MUSEUM,4.5,436
JOHN WESLEY POWELL RIVER HISTORY MUSEUM,HISTORY MUSEUM,GREEN RIVER,UT,$0.00 ,$0.00 ,JOHN WESLEY POWELL RIVER HISTORY MUSEUM,4.5,103
NATURAL HISTORY MUSEUM OF UTAH,NATURAL HISTORY MUSEUM,SALT LAKE CITY,UT,0,0,NATURAL HISTORY MUSEUM OF UTAH,4.5,815
CHILDREN'S MUSEUM OF VIRGINIA,CHILDREN'S MUSEUM,PORTSMOUTH,VA,0,0,CHILDREN'S MUSEUM OF VIRGINIA,4.5,206
DEWITT WALLACE DECORATIVE ARTS MUSEUM,GENERAL MUSEUM,WILLIAMSBURG,VA,0,0,DEWITT WALLACE DECORATIVE ARTS MUSEUM,4.5,403
EXPLORE MORE DISCOVERY MUSEUM,CHILDREN'S MUSEUM,HARRISONBURG,VA,"$451,741.00 ","$423,498.00 ",EXPLORE MORE DISCOVERY MUSEUM,4.5,74
HAMPTON ROADS NAVAL MUSEUM,GENERAL MUSEUM,NORFOLK,VA,"$160,065.00 ","$109,557.00 ",HAMPTON ROADS NAVAL MUSEUM,4.5,63
JAMESTOWN SETTLEMENT,HISTORIC PRESERVATION,WILLIAMSBURG,VA,"$3,678,402.00 ","$3,628,340.00 ",JAMESTOWN SETTLEMENT,4.5,"2,582"
LYNCHBURG MUSEUM,GENERAL MUSEUM,LYNCHBURG,VA,"$34,013.00 ","$34,013.00 ",LYNCHBURG MUSEUM,4.5,57
MILITARY AVIATION MUSEUM,GENERAL MUSEUM,VIRGINIA BCH,VA,"$775,484.00 ","$518,698.00 ",MILITARY AVIATION MUSEUM,4.5,760
MUSEUM OF CHINCOTEAGUE,GENERAL MUSEUM,CHINCOTEAGUE ISLAND,VA,0,0,MUSEUM OF CHINCOTEAGUE,4.5,329
MUSEUM OF THE SHENANDOAH VALLEY,GENERAL MUSEUM,WINCHESTER,VA,"$12,798,210.00 ","$7,408,518.00 ",MUSEUM OF THE SHENANDOAH VALLEY,4.5,320
SCIENCE MUSEUM OF VIRGINIA,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,RICHMOND,VA,"$7,812,975.00 ","$7,674,611.00 ",SCIENCE MUSEUM OF VIRGINIA,4,269
SMITHSONIAN NATIONAL AIR AND SPACE MUSEUM,GENERAL MUSEUM,CHANTILLY,VA,0,0,SMITHSONIAN NATIONAL AIR AND SPACE MUSEUM,4.5,"14,492"
U.S. ARMY TRANSPORTATION MUSEUM,GENERAL MUSEUM,NEWPORT NEWS,VA,"$236,083.00 ","$150,155.00 ",U.S. ARMY TRANSPORTATION MUSEUM,4.5,145
VIRGINIA HOLOCAUST MUSEUM,HISTORY MUSEUM,RICHMOND,VA,"$1,176,803.00 ","$875,646.00 ",VIRGINIA HOLOCAUST MUSEUM,4.5,265
VIRGINIA LIVING MUSEUM,NATURAL HISTORY MUSEUM,NEWPORT NEWS,VA,"$4,486,587.00 ","$3,607,730.00 ",VIRGINIA LIVING MUSEUM,4.5,487
VIRGINIA MUSEUM OF FINE ARTS,ART MUSEUM,RICHMOND,VA,0,0,VIRGINIA MUSEUM OF FINE ARTS,5,"1,773"
VIRGINIA MUSEUM OF TRANSPORTATION,GENERAL MUSEUM,ROANOKE,VA,"$1,096,040.00 ","$1,096,040.00 ",VIRGINIA MUSEUM OF TRANSPORTATION,4.5,401
